id	subject	predicate	object	knowledge_level	agent_type	primary_knowledge_source	publications	role	concentration_value	concentration_unit	organoid_type	evidence
PMC:10045189--mentions--NCBIGene:22416	PMC:10045189	biolink:mentions	NCBIGene:22416	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10045189	minimum requirements in the context of breast organoid culture conditions			other	Both the growth of newly established organoid cultures in appropriate expansion media and the use of R-spondin-1, Noggin, and Wnt-3A-conditioned media seem to represent minimum requirements in the context of breast organoid culture conditions
PMC:10045189--mentions--NCBIGene:1950	PMC:10045189	biolink:mentions	NCBIGene:1950	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10045189	augment proliferation			other	Elevated epidermal growth factor (EGF) concentrations might augment proliferation
PMC:10045189--mentions--PR:000014330	PMC:10045189	biolink:mentions	PR:000014330	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10045189	minimum requirements in the context of breast organoid culture conditions			other	Both the growth of newly established organoid cultures in appropriate expansion media and the use of R-spondin-1, Noggin, and Wnt-3A-conditioned media seem to represent minimum requirements in the context of breast organoid culture conditions
PMC:10045189--mentions--NCBIGene:778701	PMC:10045189	biolink:mentions	NCBIGene:778701	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10045189	minimum requirements in the context of breast organoid culture conditions			other	Both the growth of newly established organoid cultures in appropriate expansion media and the use of R-spondin-1, Noggin, and Wnt-3A-conditioned media seem to represent minimum requirements in the context of breast organoid culture conditions
PMC:10085542--mentions--CHEBI:5931	PMC:10085542	biolink:mentions	CHEBI:5931	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10085542				pancreatic	
PMC:10085542--mentions--NCBIGene:100525086	PMC:10085542	biolink:mentions	NCBIGene:100525086	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10085542	supplement			pancreatic	basal medium was supplemented with human fibroblast growth factor 10 (FGF10)
PMC:10085542--mentions--CHEBI:17154	PMC:10085542	biolink:mentions	CHEBI:17154	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10085542				pancreatic	
PMC:10085542--mentions--PUBCHEM.COMPOUND:56841751	PMC:10085542	biolink:mentions	PUBCHEM.COMPOUND:56841751	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10085542	supplement			pancreatic	medium with Wnt agonist R-Spondin1, FGF10, and epidermal growth factor (EGF)
PMC:10085542--mentions--NCBIGene:1950	PMC:10085542	biolink:mentions	NCBIGene:1950	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10085542	signaling			pancreatic	EGF-signaling actively participated in the modulation of the expansion and differentiation of the organoids
PMC:10085542--mentions--NCBIGene:443306	PMC:10085542	biolink:mentions	NCBIGene:443306	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10085542	supplement			pancreatic	plated in 3D culture with the medium including B-27, FGF2, insulin, hydrocortisone, and ascorbic acid
PMC:10085542--mentions--CHEBI:17650	PMC:10085542	biolink:mentions	CHEBI:17650	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10085542	supplement			pancreatic	plated in 3D culture with the medium including B-27, FGF2, insulin, hydrocortisone, and ascorbic acid
PMC:10085542--mentions--CHEBI:22652	PMC:10085542	biolink:mentions	CHEBI:22652	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10085542	supplement			pancreatic	plated in 3D culture with the medium including B-27, FGF2, insulin, hydrocortisone, and ascorbic acid
PMC:10093542--mentions--NCBIGene:118152209	PMC:10093542	biolink:mentions	NCBIGene:118152209	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10093542	reprogramming			other	the combination of bFGF, ascorbic acid (AA), and Y-27632 dihydrochloride-ROCK inhibitor in the culture medium increase the reprogramming efficiency
PMC:10093542--mentions--CHEBI:22652	PMC:10093542	biolink:mentions	CHEBI:22652	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10093542	reprogramming			other	the combination of bFGF, ascorbic acid (AA), and Y-27632 dihydrochloride-ROCK inhibitor in the culture medium increase the reprogramming efficiency
PMC:10093542--mentions--CHEBI:232591	PMC:10093542	biolink:mentions	CHEBI:232591	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10093542	reprogramming			other	the combination of bFGF, ascorbic acid (AA), and Y-27632 dihydrochloride-ROCK inhibitor in the culture medium increase the reprogramming efficiency
PMC:10093542--mentions--NCBIGene:100313715	PMC:10093542	biolink:mentions	NCBIGene:100313715	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10093542				other	
PMC:10093542--mentions--NCBIGene:100519127	PMC:10093542	biolink:mentions	NCBIGene:100519127	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10093542	neural induction			other	Cells were treated with recombinant proteins that modulate BMP, FGF, and WNT signaling pathways to induce the sequential formation of NNE, otic-epibranchial progenitor domain (OEPD), and otic placodes.
PMC:10093542--mentions--NCBIGene:100525086	PMC:10093542	biolink:mentions	NCBIGene:100525086	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10093542	neural induction			other	Cells were treated with recombinant proteins that modulate BMP, FGF, and WNT signaling pathways to induce the sequential formation of NNE, otic-epibranchial progenitor domain (OEPD), and otic placodes.
PMC:10093542--mentions--NCBIGene:113204831	PMC:10093542	biolink:mentions	NCBIGene:113204831	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10093542	neural induction			other	Cells were treated with recombinant proteins that modulate BMP, FGF, and WNT signaling pathways to induce the sequential formation of NNE, otic-epibranchial progenitor domain (OEPD), and otic placodes.
PMC:10093542--mentions--NCBIGene:100641115	PMC:10093542	biolink:mentions	NCBIGene:100641115	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10093542	neural induction			other	Cells were treated with recombinant proteins that modulate BMP, FGF, and WNT signaling pathways to induce the sequential formation of NNE, otic-epibranchial progenitor domain (OEPD), and otic placodes.
PMC:10093542--mentions--PR:000009182	PMC:10093542	biolink:mentions	PR:000009182	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10093542	neural induction			other	
PMC:10093542--mentions--NCBIGene:608860	PMC:10093542	biolink:mentions	NCBIGene:608860	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10093542	neural induction			other	
PMC:10093542--mentions--NCBIGene:397495	PMC:10093542	biolink:mentions	NCBIGene:397495	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10093542	neural induction			other	
PMC:10093542--mentions--NCBIGene:5067522	PMC:10093542	biolink:mentions	NCBIGene:5067522	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10093542	neural induction			other	
PMC:10094119--mentions--NCBIGene:100641115	PMC:10094119	biolink:mentions	NCBIGene:100641115	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10094119	modulated			other	Wnt-modulated
PMC:10094119--mentions--NCBIGene:118152209	PMC:10094119	biolink:mentions	NCBIGene:118152209	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10094119	cardiogenic			other	cardiogenic factors such as basic fibroblast growth factor (bFGF)
PMC:10094119--mentions--NCBIGene:397157	PMC:10094119	biolink:mentions	NCBIGene:397157	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10094119	cardiogenic			other	vascular endothelial growth factor-A (VEGF-A)
PMC:10094119--mentions--CHEBI:91091	PMC:10094119	biolink:mentions	CHEBI:91091	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10094119	activator			other	a Wnt activator (CHIR99021)
PMC:10094119--mentions--NCBIGene:100113425	PMC:10094119	biolink:mentions	NCBIGene:100113425	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10094119	cardiogenic			other	bone morphogenic protein 4 (BMP4)
PMC:10094119--mentions--CHEBI:81351	PMC:10094119	biolink:mentions	CHEBI:81351	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10094119	cardiogenic			other	Activin A
PMC:10094119--mentions--CHEBI:65329	PMC:10094119	biolink:mentions	CHEBI:65329	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10094119	inhibitor			other	LY294002 (a PI3K inhibitor)
PMC:10094119--mentions--CHEBI:125649	PMC:10094119	biolink:mentions	CHEBI:125649	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10094119	inhibitor			other	IWP2 (a Wnt inhibitor)
PMC:10094119--mentions--NCBIGene:8243199	PMC:10094119	biolink:mentions	NCBIGene:8243199	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10094119	cardiogenic			other	retinoic acid (RA)
PMC:10102862--mentions--NCBIGene:1950	PMC:10102862	biolink:mentions	NCBIGene:1950	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10102862	differentiation			intestinal	EGF, noggin, R-spondin1, Wnt3a
PMC:10102862--mentions--NCBIGene:778701	PMC:10102862	biolink:mentions	NCBIGene:778701	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10102862	differentiation			intestinal	EGF, noggin, R-spondin1, Wnt3a
PMC:10102862--mentions--NCBIGene:469283	PMC:10102862	biolink:mentions	NCBIGene:469283	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10102862	differentiation			intestinal	EGF, noggin, R-spondin1, Wnt3a
PMC:10102862--mentions--NCBIGene:482208	PMC:10102862	biolink:mentions	NCBIGene:482208	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10102862	differentiation			intestinal	EGF, noggin, R-spondin1, Wnt3a
PMC:10102862--mentions--PUBCHEM.COMPOUND:44288444	PMC:10102862	biolink:mentions	PUBCHEM.COMPOUND:44288444	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10102862	differentiation			intestinal	gastrin
PMC:10102862--mentions--CHEBI:606564	PMC:10102862	biolink:mentions	CHEBI:606564	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10102862	differentiation			intestinal	prostaglandin E2
PMC:10102862--mentions--CHEBI:91091	PMC:10102862	biolink:mentions	CHEBI:91091	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10102862	differentiation			intestinal	CHIR99021
PMC:10102862--mentions--CHEBI:75393	PMC:10102862	biolink:mentions	CHEBI:75393	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10102862	differentiation			intestinal	Y-27632
PMC:10178834--mentions--NCBIGene:100641115	PMC:10178834	biolink:mentions	NCBIGene:100641115	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10178834	agonist			other	incorporating stem cell niche factors, including the Wnt pathway agonist R-spondin-1
PMC:10178834--mentions--NCBIGene:1950	PMC:10178834	biolink:mentions	NCBIGene:1950	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10178834				other	incorporating stem cell niche factors, including the Wnt pathway agonist R-spondin-1, EGF
PMC:10178834--mentions--NCBIGene:113204831	PMC:10178834	biolink:mentions	NCBIGene:113204831	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10178834	antagonist			other	incorporating stem cell niche factors, including the Wnt pathway agonist R-spondin-1, EGF, and the BMP antagonist Noggin
PMC:10178834--mentions--CHEBI:85278	PMC:10178834	biolink:mentions	CHEBI:85278	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10178834	agonist			other	Addition of androgen such as dihydrotestosterone (DHT) to the medium
PMC:10178834--mentions--NCBIGene:100313715	PMC:10178834	biolink:mentions	NCBIGene:100313715	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10178834				other	defined organoid medium conditions incorporating stem cell niche factors, including the Wnt pathway agonist R-spondin-1
PMC:10178834--mentions--CHEBI:17347	PMC:10178834	biolink:mentions	CHEBI:17347	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10178834	facilitating			other	R-spondin, Noggin, and testosterone as facilitating but not required for growth
PMC:10179392--mentions--NCBIGene:100641115	PMC:10179392	biolink:mentions	NCBIGene:100641115	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10179392	activation			pancreatic	growth factors and small molecules that activate or inhibit embryonic signaling pathways in specific doses and sequences, such as lymph node activator, WNT, retinoic acid, FGF, bone morphogenetic protein (BMP), and Notch
PMC:10179392--mentions--CHEBI:26536	PMC:10179392	biolink:mentions	CHEBI:26536	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10179392	activation			pancreatic	growth factors and small molecules that activate or inhibit embryonic signaling pathways in specific doses and sequences, such as lymph node activator, WNT, retinoic acid, FGF, bone morphogenetic protein (BMP), and Notch
PMC:10179392--mentions--NCBIGene:582058	PMC:10179392	biolink:mentions	NCBIGene:582058	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10179392	activation			pancreatic	growth factors and small molecules that activate or inhibit embryonic signaling pathways in specific doses and sequences, such as lymph node activator, WNT, retinoic acid, FGF, bone morphogenetic protein (BMP), and Notch
PMC:10179392--mentions--NCBIGene:113204831	PMC:10179392	biolink:mentions	NCBIGene:113204831	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10179392	activation			pancreatic	growth factors and small molecules that activate or inhibit embryonic signaling pathways in specific doses and sequences, such as lymph node activator, WNT, retinoic acid, FGF, bone morphogenetic protein (BMP), and Notch
PMC:10179392--mentions--NCBIGene:100616083	PMC:10179392	biolink:mentions	NCBIGene:100616083	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10179392	activation			pancreatic	growth factors and small molecules that activate or inhibit embryonic signaling pathways in specific doses and sequences, such as lymph node activator, WNT, retinoic acid, FGF, bone morphogenetic protein (BMP), and Notch
PMC:10179392--mentions--NCBIGene:176286	PMC:10179392	biolink:mentions	NCBIGene:176286	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10179392	enhance GSIS			pancreatic	GLP-1 recruits a highly coordinated heterogeneous subnetwork of β-cells to enhance GSIS
PMC:10179392--mentions--NCBIGene:100313715	PMC:10179392	biolink:mentions	NCBIGene:100313715	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10179392				pancreatic	R-VECs vascular plexus established by this type of method is self-organizing, high volume, and maintains its angiogenic potential in a wide range of serum-free medium compositions
PMC:10192887--mentions--NCBIGene:482208	PMC:10192887	biolink:mentions	NCBIGene:482208	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10192887	signaling			intestinal	adding various stem cell niche factors into the medium and manually modulating signaling pathways
PMC:10192887--mentions--NCBIGene:778701	PMC:10192887	biolink:mentions	NCBIGene:778701	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10192887	signaling			intestinal	adding various stem cell niche factors into the medium and manually modulating signaling pathways
PMC:10192887--mentions--NCBIGene:100622113	PMC:10192887	biolink:mentions	NCBIGene:100622113	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10192887	signaling			intestinal	adding various stem cell niche factors into the medium and manually modulating signaling pathways
PMC:10216466--mentions--NCBIGene:482208	PMC:10216466	biolink:mentions	NCBIGene:482208	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10216466	proliferation and differentiation			gastric	Wnt signaling pathway is an essential pathway for stem cell proliferation and differentiation. Wnt-3A, a family member of this signaling pathway, is also one of the substantial cytokines within the organoids medium
PMC:10216466--mentions--NCBIGene:100622113	PMC:10216466	biolink:mentions	NCBIGene:100622113	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10216466	maintaining stem cell activity			gastric	R -spondin-1 inhibits the RNF43/ZNRF3 signaling pathway and, in maintaining continuous activation of the Wnt signaling pathway by binding to Lgr5, is therefore another essential cytokine for maintaining stem cell activity in medium
PMC:10216466--mentions--NCBIGene:778701	PMC:10216466	biolink:mentions	NCBIGene:778701	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10216466	culture			gastric	Noggin, epidermal growth factor (EGF), fibroblast growth factor (FGF) and vascular endothelial growth factor (VEGF) also play a role in the culture of organoids and need to be adapted to the requirements of different organoid models
PMC:10216466--mentions--NCBIGene:1950	PMC:10216466	biolink:mentions	NCBIGene:1950	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10216466	culture			gastric	Noggin, epidermal growth factor (EGF), fibroblast growth factor (FGF) and vascular endothelial growth factor (VEGF) also play a role in the culture of organoids and need to be adapted to the requirements of different organoid models
PMC:10216466--mentions--NCBIGene:582058	PMC:10216466	biolink:mentions	NCBIGene:582058	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10216466	culture			gastric	Noggin, epidermal growth factor (EGF), fibroblast growth factor (FGF) and vascular endothelial growth factor (VEGF) also play a role in the culture of organoids and need to be adapted to the requirements of different organoid models
PMC:10216466--mentions--NCBIGene:100136118	PMC:10216466	biolink:mentions	NCBIGene:100136118	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10216466	culture			gastric	Noggin, epidermal growth factor (EGF), fibroblast growth factor (FGF) and vascular endothelial growth factor (VEGF) also play a role in the culture of organoids and need to be adapted to the requirements of different organoid models
PMC:10216466--mentions--CHEBI:91091	PMC:10216466	biolink:mentions	CHEBI:91091	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10216466	maintaining stem cell activity			gastric	small molecule inhibitors, such as CHIR99021, Y-27632, A83-01 and SB-431542, can assist cytokines in maintaining stem cell activity and reducing apoptosis
PMC:10216466--mentions--CHEBI:75393	PMC:10216466	biolink:mentions	CHEBI:75393	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10216466	maintaining stem cell activity			gastric	small molecule inhibitors, such as CHIR99021, Y-27632, A83-01 and SB-431542, can assist cytokines in maintaining stem cell activity and reducing apoptosis
PMC:10216466--mentions--PUBCHEM.COMPOUND:44288444	PMC:10216466	biolink:mentions	PUBCHEM.COMPOUND:44288444	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10216466	promotes proliferation and differentiation			gastric	gastrin effectively promotes the proliferation and differentiation of mouse gastric organoids via cholecystokinin 2 receptor (CCK2R)
PMC:10266356--mentions--NCBIGene:100641115	PMC:10266356	biolink:mentions	NCBIGene:100641115	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10266356	improving and stabilizing hair induction capacity			other	Supplementation of cytokines involved in Wnt, BMP, and FGF signaling resulted in improving and stabilizing hair induction capacity in cultured DPCs
PMC:10266356--mentions--NCBIGene:113204831	PMC:10266356	biolink:mentions	NCBIGene:113204831	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10266356	improving and stabilizing hair induction capacity			other	Supplementation of cytokines involved in Wnt, BMP, and FGF signaling resulted in improving and stabilizing hair induction capacity in cultured DPCs
PMC:10266356--mentions--NCBIGene:397281	PMC:10266356	biolink:mentions	NCBIGene:397281	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10266356	promotes telogen to anagen transition			other	Fibroblast growth factor 7 (FGF7) derived from the DP promotes telogen to anagen transition
PMC:10266356--mentions--NCBIGene:582058	PMC:10266356	biolink:mentions	NCBIGene:582058	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10266356	improving and stabilizing hair induction capacity			other	Supplementation of cytokines involved in Wnt, BMP, and FGF signaling resulted in improving and stabilizing hair induction capacity in cultured DPCs
PMC:10266356--mentions--NCBIGene:100313715	PMC:10266356	biolink:mentions	NCBIGene:100313715	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10266356	stimulates DSC expansion			other	
PMC:10266356--mentions--Cellosaurus:CVCL_1240	PMC:10266356	biolink:mentions	Cellosaurus:CVCL_1240	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10266356				other	
PMC:10297546--mentions--CHEBI:91091	PMC:10297546	biolink:mentions	CHEBI:91091	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10297546	mesodermal induction			other	CHIR99021
PMC:10297546--mentions--NCBIGene:4155959	PMC:10297546	biolink:mentions	NCBIGene:4155959	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10297546	mesodermal induction			other	FGF-2
PMC:10297546--mentions--CHEBI:26536	PMC:10297546	biolink:mentions	CHEBI:26536	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10297546	mesodermal induction			other	retinoic acid
PMC:10297546--mentions--NCBIGene:100113425	PMC:10297546	biolink:mentions	NCBIGene:100113425	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10297546	mesodermal induction			other	BMP4
PMC:10297546--mentions--NCBIGene:397157	PMC:10297546	biolink:mentions	NCBIGene:397157	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10297546	vascular sprouting			other	VEGFA
PMC:10297546--mentions--NCBIGene:38145	PMC:10297546	biolink:mentions	NCBIGene:38145	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10297546	hematopoietic and vascular lineages			other	SCF
PMC:10297546--mentions--NCBIGene:100515445	PMC:10297546	biolink:mentions	NCBIGene:100515445	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10297546	hematopoietic and vascular lineages			other	FLT3
PMC:10297546--mentions--NCBIGene:8200	PMC:10297546	biolink:mentions	NCBIGene:8200	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10297546	chondrogenic differentiation			other	GDF5
PMC:10297546--mentions--NCBIGene:733059	PMC:10297546	biolink:mentions	NCBIGene:733059	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10297546	osteochondral organoid development			other	BMP-2
PMC:10297546--mentions--CHEBI:22652	PMC:10297546	biolink:mentions	CHEBI:22652	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10297546	osteogenic medium			other	ascorbic acid
PMC:10297546--mentions--CHEBI:17270	PMC:10297546	biolink:mentions	CHEBI:17270	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10297546	osteogenic medium			other	β-glycerophosphate
PMC:10297546--mentions--CHEBI:41879	PMC:10297546	biolink:mentions	CHEBI:41879	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10297546	osteogenic medium			other	dexamethasone
PMC:10303776--mentions--NCBIGene:100641115	PMC:10303776	biolink:mentions	NCBIGene:100641115	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10303776	instruct dorsal progenitor identity			other	morphogens that belong to the bone morphogenetic protein (BMP) and WNT families are secreted by the embryonic roof plate (RP) and instruct dorsal progenitor identity
PMC:10303776--mentions--NCBIGene:582058	PMC:10303776	biolink:mentions	NCBIGene:582058	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10303776	induces HOX genes			other	HOX genes expressed in more rostral parts of the SpC are induced by lower amounts of FGF
PMC:10303776--mentions--NCBIGene:113204831	PMC:10303776	biolink:mentions	NCBIGene:113204831	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10303776	instruct dorsal progenitor identity			other	morphogens that belong to the bone morphogenetic protein (BMP) and WNT families are secreted by the embryonic roof plate (RP) and instruct dorsal progenitor identity
PMC:10303776--mentions--NCBIGene:608860	PMC:10303776	biolink:mentions	NCBIGene:608860	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10303776	specifies a ventral identity			other	Sonic hedgehog protein (Shh), dissipated from the notochord and floor plate (FP), specifies a ventral identity
PMC:10303776--mentions--NCBIGene:8243199	PMC:10303776	biolink:mentions	NCBIGene:8243199	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10303776	induces expression of HOX genes			other	retinoic acid (RA) is another morphogen that plays important roles in organogenesis and the differentiation of the brain and SpC, for instance, by inducing expression of HOX genes
PMC:10307727--mentions--NCBIGene:40100836	PMC:10307727	biolink:mentions	NCBIGene:40100836	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10307727	selection		mg/ml	pancreatic	containing 10% FBS and 0.5–0.5 mg/ml G418 and Hygromycin B
PMC:10307727--mentions--CHEBI:16976	PMC:10307727	biolink:mentions	CHEBI:16976	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10307727	selection			pancreatic	containing 10% FBS and 0.5–0.5 mg/ml G418 and Hygromycin B
PMC:10310803--mentions--NCBIGene:482208	PMC:10310803	biolink:mentions	NCBIGene:482208	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10310803	signaling	100.0	ng/mL	gastric	100 ng/mL Wnt3a
